Kabupaten/Kota,Kecamatan,Latitude,Longitude
Kabupaten Badung,Abiansemal,-8.5584,115.2245
Kabupaten Badung,Kuta,-8.7238,115.1752
Kabupaten Badung,Kuta Selatan,-8.8063,115.1533
Kabupaten Badung,Kuta Utara,-8.6489,115.1593
Kabupaten Badung,Mengwi,-8.5617,115.1771
Kabupaten Badung,Petang,-8.3366,115.2245
Kabupaten Bangli,Bangli,-8.433,115.3608
Kabupaten Bangli,Kintamani,-8.2574,115.3549
Kabupaten Bangli,Susut,-8.4145,115.3371
Kabupaten Bangli,Tembuku,-8.4058,115.3904
Kabupaten Buleleng,Banjar,-8.2285,115.0347
Kabupaten Buleleng,Buleleng,-8.2239,114.9517
Kabupaten Buleleng,Busung Biu,-8.3262,114.928
Kabupaten Buleleng,Gerokgak,-8.2146,114.7855
Kabupaten Buleleng,Kubutambahan,-8.1062,115.2126
Kabupaten Buleleng,Sawan,-8.1587,115.1771
Kabupaten Buleleng,Seririt,-8.2053,114.928
Kabupaten Buleleng,Sukasada,-8.1928,115.1178
Kabupaten Buleleng,Tejakula,-8.1293,115.3193
Kabupaten Gianyar,Blahbatuh,-8.5922,115.3193
Kabupaten Gianyar,Gianyar,-8.5502,115.343
Kabupaten Gianyar,Payangan,-8.3954,115.2482
Kabupaten Gianyar,Sukawati,-8.5955,115.2719
Kabupaten Gianyar,Tampaksiring,-8.4262,115.3234
Kabupaten Gianyar,Tegallalang,-8.3922,115.2956
Kabupaten Gianyar,Ubud,-8.5069,115.2652
Kabupaten Jembrana,Jembrana,-8.3482,114.5955
Kabupaten Jembrana,Melaya,-8.2301,114.548
Kabupaten Jembrana,Mendoyo,-8.3171,114.7618
Kabupaten Jembrana,Negara,-8.3482,114.5955
Kabupaten Jembrana,Pekutatan,-8.4102,114.8805
Kabupaten Karangasem,Abang,-8.3694,115.6273
Kabupaten Karangasem,Bebandem,-8.396,115.5326
Kabupaten Karangasem,Karangasem,-8.4297,115.6273
Kabupaten Karangasem,Kubu,-8.2879,115.497
Kabupaten Karangasem,Manggis,-8.4765,115.5326
Kabupaten Karangasem,Rendang,-8.3623,115.4378
Kabupaten Karangasem,Selat,-8.4194,115.4852
Kabupaten Karangasem,Sidemen,-8.4831,115.4378
Kabupaten Klungkung,Banjarangkan,-8.5229,115.3726
Kabupaten Klungkung,Dawan,-8.5436,115.4378
Kabupaten Klungkung,Klungkung,-8.5388,115.4024
Kabupaten Klungkung,Nusa Penida,-8.7278,115.5444
Kabupaten Tabanan,Baturiti,-8.3398,115.1771
Kabupaten Tabanan,Kediri,-8.5852,115.1296
Kabupaten Tabanan,Kerambitan,-8.5224,115.0881
Kabupaten Tabanan,Marga,-8.446,115.1711
Kabupaten Tabanan,Penebel,-8.3942,115.1178
Kabupaten Tabanan,Pupuan,-8.3602,115.0229
Kabupaten Tabanan,Selemadeg,-8.4549,115.0407
Kabupaten Tabanan,Selemadeg Barat,-8.4535,114.9873
Kabupaten Tabanan,Selemadeg Timur,-8.4836,115.0644
Kabupaten Tabanan,Tabanan,-8.5376,115.1247
Kota Denpasar,Denpasar Barat,-8.6666,115.1948
Kota Denpasar,Denpasar Selatan,-8.6983,115.2482
Kota Denpasar,Denpasar Timur,-8.6431,115.2423
Kota Denpasar,Denpasar Utara,-8.6254,115.2067
